EmployeeNumber,Attrition,type,month
205,No,,
206,No,,
207,No,,
208,No,,
211,No,,
214,No,,
215,No,,
216,No,,
217,No,,
218,No,,
221,No,,
223,No,,
224,No,,
226,No,,
227,No,,
228,No,,
230,No,,
231,No,,
233,No,,
235,Yes,Voluntary,1
238,No,,
239,No,,
240,No,,
241,No,,
242,No,,
243,Yes,Involuntary,11
244,No,,
245,No,,
246,No,,
247,No,,
248,Yes,Voluntary,11
249,No,,
250,No,,
252,No,,
253,No,,
254,No,,
256,No,,
258,No,,
259,No,,
260,No,,
261,Yes,Voluntary,7
262,No,,
264,No,,
267,No,,
269,No,,
270,No,,
271,No,,
273,No,,
274,No,,
275,No,,
277,No,,
281,No,,
282,Yes,Voluntary,12
283,Yes,Involuntary,5
284,No,,
286,No,,
287,No,,
288,No,,
291,Yes,Voluntary,4
292,No,,
293,No,,
296,No,,
297,Yes,Involuntary,11
298,No,,
299,Yes,Voluntary,5
300,Yes,Voluntary,8
302,No,,
303,No,,
304,No,,
305,No,,
306,No,,
307,No,,
308,No,,
309,No,,
311,No,,
312,No,,
314,No,,
315,Yes,Voluntary,1
316,No,,
319,No,,
321,No,,
323,No,,
325,Yes,Involuntary,3
327,No,,
328,Yes,Voluntary,8
329,No,,
330,No,,
331,Yes,Involuntary,12
332,No,,
333,No,,
334,No,,
335,No,,
336,No,,
337,No,,
338,No,,
339,No,,
340,No,,
341,No,,
342,Yes,Voluntary,11
343,No,,
346,No,,
347,No,,
349,No,,
350,No,,
351,No,,
352,No,,
353,No,,
355,Yes,Involuntary,1
359,No,,
361,No,,
362,No,,
363,No,,
364,Yes,Involuntary,8
366,No,,
367,No,,
369,No,,
372,No,,
373,No,,
374,No,,
376,Yes,Voluntary,8
377,No,,
378,No,,
379,No,,
380,No,,
381,No,,
382,No,,
384,No,,
385,No,,
386,No,,
387,No,,
388,No,,
389,No,,
390,No,,
391,No,,
392,Yes,Involuntary,5
393,No,,
394,Yes,Voluntary,1
395,No,,
396,No,,
397,No,,
399,No,,
401,Yes,Voluntary,7
403,No,,
404,No,,
405,Yes,Involuntary,7
406,No,,
407,No,,
408,No,,
410,No,,
411,No,,
412,No,,
416,No,,
417,No,,
419,No,,
420,No,,
421,No,,
422,No,,
423,No,,
424,No,,
425,No,,
426,No,,
428,No,,
429,No,,
430,No,,
431,No,,
433,Yes,Involuntary,1
434,No,,
436,No,,
437,No,,
438,No,,
439,No,,
440,Yes,Voluntary,2
441,No,,
442,No,,
444,No,,
445,Yes,Involuntary,6
446,No,,
447,No,,
448,No,,
449,No,,
450,No,,
451,No,,
452,No,,
453,No,,
454,Yes,Voluntary,11
455,No,,
456,No,,
458,No,,
460,No,,
461,No,,
462,No,,
463,No,,
464,No,,
465,No,,
466,No,,
467,No,,
468,No,,
469,No,,
470,No,,
471,No,,
473,No,,
474,No,,
475,No,,
476,No,,
477,No,,
478,Yes,Involuntary,11
479,No,,
481,No,,
482,No,,
483,No,,
484,No,,
485,Yes,Involuntary,3
486,No,,
487,No,,
488,Yes,Voluntary,8
491,No,,
492,Yes,Voluntary,10
493,No,,
494,Yes,Voluntary,11
495,No,,
496,No,,
497,No,,
498,No,,
499,No,,
500,No,,
501,No,,
502,Yes,Involuntary,6
505,No,,
507,No,,
508,No,,
510,Yes,Involuntary,11
511,No,,
513,No,,
514,Yes,Involuntary,5
515,No,,
516,No,,
517,No,,
518,No,,
520,No,,
521,No,,
522,No,,
523,No,,
524,No,,
525,No,,
526,No,,
527,No,,
529,No,,
530,No,,
531,No,,
532,No,,
533,No,,
534,No,,
536,No,,
538,Yes,Voluntary,1
543,No,,
544,No,,
546,No,,
547,No,,
548,No,,
549,No,,
550,No,,
551,No,,
554,Yes,Voluntary,9
555,Yes,Involuntary,7
556,No,,
558,No,,
560,No,,
562,No,,
564,No,,
565,Yes,Involuntary,11
566,Yes,Involuntary,5
567,No,,
568,No,,
569,No,,
571,No,,
573,No,,
574,No,,
575,No,,
577,No,,
578,No,,
579,No,,
580,No,,
581,No,,
582,Yes,Voluntary,7
584,Yes,Voluntary,2
585,No,,
586,No,,
587,Yes,Voluntary,3
590,Yes,Voluntary,1
591,No,,
592,No,,
593,Yes,Voluntary,9
595,No,,
597,No,,
599,No,,
600,No,,
601,No,,
602,No,,
604,No,,
605,No,,
606,No,,
608,Yes,Involuntary,6
611,No,,
612,No,,
613,No,,
614,Yes,Voluntary,3
615,No,,
616,No,,
618,No,,
620,No,,
621,No,,
622,Yes,Involuntary,8
623,No,,
624,No,,
625,No,,
626,No,,
630,No,,
631,Yes,Involuntary,8
632,No,,
634,No,,
635,No,,
638,No,,
639,No,,
641,No,,
643,No,,
644,No,,
645,No,,
647,Yes,Involuntary,5
648,Yes,Involuntary,5
649,No,,
650,Yes,Involuntary,8
652,No,,
653,No,,
655,No,,
656,No,,
657,No,,
659,No,,
661,No,,
662,No,,
663,No,,
664,No,,
665,No,,
666,No,,
667,Yes,Involuntary,11
669,No,,
671,No,,
675,No,,
677,No,,
679,No,,
680,No,,
682,No,,
683,No,,
684,Yes,Involuntary,10
686,No,,
689,No,,
690,No,,
691,No,,
692,No,,
698,No,,
699,No,,
700,No,,
701,Yes,Voluntary,10
702,Yes,Involuntary,12
704,No,,
705,No,,
707,No,,
709,No,,
710,No,,
712,No,,
714,No,,
715,No,,
716,No,,
717,No,,
720,Yes,Involuntary,4
721,No,,
722,No,,
723,Yes,Voluntary,1
724,No,,
725,No,,
727,No,,
728,No,,
729,No,,
730,No,,
731,No,,
732,No,,
733,No,,
734,No,,
738,No,,
741,Yes,Voluntary,6
742,No,,
743,No,,
744,No,,
746,No,,
747,No,,
749,No,,
752,Yes,Involuntary,10
754,No,,
757,No,,
758,No,,
760,No,,
762,No,,
763,No,,
764,No,,
766,No,,
769,No,,
771,No,,
772,No,,
773,No,,
775,No,,
776,No,,
780,Yes,Involuntary,1
781,No,,
783,No,,
784,No,,
785,Yes,Voluntary,11
786,No,,
787,Yes,Involuntary,7
789,No,,
791,No,,
792,No,,
793,No,,
796,Yes,Voluntary,6
797,No,,
799,No,,
800,No,,
802,No,,
803,No,,
804,No,,
805,No,,
806,No,,
807,No,,
808,No,,
809,No,,
811,Yes,Involuntary,5
812,No,,
813,No,,
815,No,,
816,Yes,Voluntary,11
817,No,,
819,Yes,Involuntary,2
820,No,,
823,No,,
824,No,,
825,Yes,Voluntary,4
826,No,,
827,No,,
828,Yes,Involuntary,5
829,No,,
830,No,,
832,No,,
833,No,,
834,No,,
836,No,,
837,No,,
838,No,,
840,Yes,Involuntary,5
842,Yes,Voluntary,6
843,No,,
844,No,,
845,No,,
846,No,,
847,No,,
848,Yes,Involuntary,1
850,No,,
851,No,,
852,No,,
854,No,,
855,No,,
856,No,,
857,No,,
859,No,,
861,No,,
862,No,,
864,No,,
865,No,,
867,No,,
868,No,,
869,No,,
872,No,,
874,No,,
875,No,,
878,No,,
879,No,,
880,No,,
881,Yes,Involuntary,2
882,No,,
885,No,,
887,No,,
888,No,,
889,No,,
893,No,,
894,No,,
895,No,,
896,Yes,Involuntary,9
897,No,,
899,No,,
900,No,,
901,No,,
902,No,,
903,No,,
904,No,,
905,No,,
909,No,,
910,No,,
911,Yes,Involuntary,6
912,No,,
913,No,,
916,No,,
918,Yes,Voluntary,12
920,No,,
922,Yes,Voluntary,6
923,Yes,Voluntary,4
924,No,,
925,No,,
926,Yes,Voluntary,1
927,Yes,Voluntary,5
930,No,,
932,Yes,Voluntary,5
933,No,,
934,No,,
936,No,,
939,No,,
940,No,,
941,No,,
942,No,,
944,No,,
945,No,,
947,No,,
949,No,,
950,No,,
951,No,,
952,Yes,Involuntary,1
954,No,,
956,No,,
957,No,,
958,No,,
959,Yes,Involuntary,6
960,Yes,Voluntary,3
961,No,,
964,No,,
966,No,,
967,Yes,Involuntary,8
969,No,,
970,Yes,Voluntary,3
972,No,,
974,No,,
975,No,,
976,No,,
977,Yes,Voluntary,8
981,No,,
982,No,,
983,No,,
984,No,,
985,No,,
986,Yes,Voluntary,3
987,No,,
990,No,,
991,Yes,Voluntary,8
992,No,,
994,Yes,Involuntary,11
995,No,,
996,No,,
997,No,,
998,No,,
999,No,,
1001,No,,
1002,No,,
1003,No,,
1004,Yes,Voluntary,1
1005,No,,
1006,No,,
1007,No,,
1009,No,,
1010,Yes,Voluntary,4
1011,No,,
1012,No,,
1013,No,,
1014,No,,
1015,No,,
1016,Yes,Voluntary,3
1017,Yes,Voluntary,11
1018,No,,
1019,No,,
1022,No,,
1024,No,,
1025,No,,
1026,No,,
1027,No,,
1028,No,,
1029,No,,
1030,No,,
1032,No,,
1033,Yes,Involuntary,3
1034,No,,
1035,No,,
1036,No,,
1037,Yes,Involuntary,1
1038,Yes,Voluntary,1
1039,No,,
1040,No,,
1042,Yes,Involuntary,4
1043,No,,
1044,No,,
1045,No,,
1046,No,,
1047,No,,
1048,No,,
1049,No,,
1050,No,,
1052,Yes,Voluntary,11
1053,Yes,Involuntary,6
1055,No,,
1056,No,,
1060,No,,
1061,No,,
1062,No,,
1066,No,,
1068,No,,
1069,No,,
1070,No,,
1071,No,,
1073,No,,
1074,No,,
1076,No,,
1077,Yes,Involuntary,12
1079,Yes,Involuntary,12
1080,No,,
1081,Yes,Involuntary,12
1082,Yes,Voluntary,10
1083,No,,
1084,No,,
1085,No,,
1088,No,,
1092,No,,
1094,No,,
1096,No,,
1097,No,,
1098,Yes,Involuntary,8
1099,No,,
1100,Yes,Voluntary,3
1101,Yes,Voluntary,4
1102,No,,
1103,No,,
1105,No,,
1106,Yes,Voluntary,4
1107,Yes,Voluntary,10
1108,Yes,Involuntary,10
1109,No,,
1111,Yes,Involuntary,3
1113,Yes,Involuntary,5
1114,No,,
1115,No,,
1116,No,,
1117,No,,
1118,No,,
1119,No,,
1120,No,,
1121,No,,
1124,No,,
1125,No,,
1126,No,,
1127,Yes,Involuntary,11
1128,No,,
1131,No,,
1132,No,,
1133,No,,
1135,No,,
1136,No,,
1137,No,,
1138,No,,
1140,No,,
1143,No,,
1148,No,,
1150,No,,
1152,No,,
1154,No,,
1156,Yes,Voluntary,7
1157,Yes,Voluntary,11
1158,No,,
1160,Yes,Voluntary,12
1161,No,,
1162,No,,
1163,No,,
1164,No,,
1165,Yes,Involuntary,9
1166,No,,
1167,Yes,Voluntary,6
1171,No,,
1172,No,,
1173,No,,
1175,Yes,Voluntary,11
1177,No,,
1179,No,,
1180,No,,
1182,No,,
1184,No,,
1185,No,,
1188,Yes,Voluntary,12
1190,No,,
1191,No,,
1192,No,,
1193,No,,
1195,No,,
1196,No,,
1198,No,,
1200,Yes,Voluntary,4
1201,No,,
1202,No,,
1203,Yes,Voluntary,3
1204,No,,
1206,No,,
1207,No,,
1210,Yes,Involuntary,1
1211,No,,
1212,No,,
1215,No,,
1216,No,,
1217,No,,
1218,No,,
1219,Yes,Voluntary,9
1220,No,,
1221,No,,
1224,No,,
1225,No,,
1226,No,,
1228,No,,
1231,No,,
1233,No,,
1234,No,,
1235,No,,
1237,No,,
1238,No,,
1239,No,,
1240,No,,
1241,No,,
1242,No,,
1243,No,,
1244,No,,
1245,No,,
1246,No,,
1248,Yes,Involuntary,6
1249,No,,
1250,No,,
1251,No,,
1252,No,,
1254,No,,
1255,No,,
1256,No,,
1257,No,,
1258,No,,
1259,No,,
1260,No,,
1263,No,,
1264,No,,
1265,No,,
1267,No,,
1268,No,,
1269,No,,
1270,No,,
1273,Yes,Voluntary,6
1275,No,,
1277,Yes,Involuntary,4
1278,No,,
1279,Yes,Involuntary,2
1280,No,,
1281,No,,
1282,No,,
1283,No,,
1285,No,,
1286,No,,
1288,No,,
1289,No,,
1291,No,,
1292,No,,
1293,No,,
1294,No,,
1295,Yes,Voluntary,4
1296,No,,
1297,No,,
1298,No,,
1299,Yes,Voluntary,5
1301,No,,
1303,No,,
1304,No,,
1306,No,,
1307,No,,
1308,No,,
1309,Yes,Involuntary,3
1310,Yes,Involuntary,12
1311,No,,
1312,No,,
1314,No,,
1315,No,,
1317,No,,
1318,Yes,Involuntary,11
1319,Yes,Involuntary,12
1321,No,,
1322,No,,
1324,No,,
1329,No,,
1331,Yes,Voluntary,3
1333,Yes,Voluntary,5
1334,No,,
1336,No,,
1338,No,,
1340,No,,
1344,No,,
1346,No,,
1349,No,,
1350,No,,
1352,No,,
1355,No,,
1356,No,,
1358,No,,
1360,Yes,Involuntary,11
1361,No,,
1362,No,,
1363,No,,
1364,No,,
1367,No,,
1368,No,,
1369,No,,
1371,No,,
1372,Yes,Voluntary,7
1373,No,,
1374,No,,
1375,No,,
1377,No,,
1379,Yes,Voluntary,12
1380,Yes,Voluntary,8
1382,No,,
1383,No,,
1387,No,,
1389,Yes,Involuntary,6
1390,No,,
1391,No,,
1392,No,,
1394,No,,
1395,No,,
1396,No,,
1397,No,,
1399,No,,
1401,No,,
1402,No,,
1403,No,,
1405,Yes,Voluntary,5
1407,No,,
1408,No,,
1409,No,,
1411,No,,
1412,No,,
1415,No,,
1417,No,,
1419,No,,
1420,Yes,Voluntary,5
1421,Yes,Involuntary,12
1422,No,,
1423,No,,
1424,No,,
1425,No,,
1427,Yes,Involuntary,5
1428,No,,
1430,No,,
1431,No,,
1433,Yes,Voluntary,12
1434,No,,
1435,No,,
1436,No,,
1438,No,,
1439,Yes,Involuntary,6
1440,No,,
1441,No,,
1443,No,,
1445,No,,
1446,No,,
1447,No,,
1448,No,,
1449,No,,
1453,No,,
1457,Yes,Involuntary,6
1458,Yes,Involuntary,8
1459,Yes,Involuntary,11
1460,No,,
1461,No,,
1464,Yes,Involuntary,12
1465,No,,
1466,No,,
1467,Yes,Involuntary,5
1468,No,,
1469,No,,
1471,No,,
1472,No,,
1473,No,,
1474,No,,
1475,No,,
1477,No,,
1478,No,,
1479,No,,
1480,No,,
1481,No,,
1482,No,,
1483,No,,
1484,No,,
1485,No,,
1486,Yes,Involuntary,4
1487,Yes,Voluntary,11
1489,Yes,Involuntary,3
1492,No,,
1494,Yes,Involuntary,9
1495,No,,
1496,No,,
1497,No,,
1499,No,,
1501,No,,
1502,No,,
1503,No,,
1504,Yes,Voluntary,7
1506,No,,
1507,No,,
1509,No,,
1513,No,,
1514,No,,
1515,No,,
1516,No,,
1520,No,,
1522,Yes,Voluntary,9
1523,No,,
1525,No,,
1527,No,,
1529,No,,
1533,No,,
1534,Yes,Voluntary,7
1535,No,,
1537,Yes,Involuntary,6
1539,No,,
1541,No,,
1542,No,,
1543,No,,
1544,No,,
1545,No,,
1546,No,,
1547,No,,
1548,No,,
1549,No,,
1550,No,,
1551,No,,
1552,No,,
1553,No,,
1554,No,,
1555,No,,
1556,No,,
1557,No,,
1558,No,,
1560,No,,
1562,Yes,Involuntary,9
1563,No,,
1564,No,,
1568,No,,
1569,Yes,Voluntary,5
1572,Yes,Voluntary,3
1573,Yes,Voluntary,3
1574,No,,
1576,No,,
1577,No,,
1578,No,,
1580,No,,
1581,No,,
1582,No,,
1583,No,,
1585,No,,
1586,No,,
1587,No,,
1588,No,,
1590,No,,
1591,No,,
1592,No,,
1594,No,,
1595,No,,
1596,No,,
1597,No,,
1598,No,,
1599,No,,
1601,No,,
1602,No,,
1604,Yes,Involuntary,5
1605,No,,
1606,No,,
1607,No,,
1608,No,,
1609,No,,
1611,No,,
1612,No,,
1613,No,,
1614,No,,
1615,No,,
1617,No,,
1618,No,,
1619,No,,
1621,No,,
1622,No,,
1623,No,,
1624,Yes,Involuntary,3
1625,No,,
1627,No,,
1628,No,,
1630,No,,
1631,No,,
1633,No,,
1635,No,,
1638,No,,
1639,Yes,Involuntary,1
1640,No,,
1641,No,,
1642,No,,
1644,No,,
1645,Yes,Involuntary,1
1646,No,,
1647,No,,
1648,No,,
1649,Yes,Involuntary,5
1650,No,,
1651,No,,
1653,No,,
1654,No,,
1655,No,,
1656,No,,
1657,No,,
1658,No,,
1659,No,,
1661,No,,
1662,No,,
1664,No,,
1665,No,,
1666,No,,
1667,Yes,Voluntary,3
1668,No,,
1669,No,,
1670,No,,
1671,No,,
1673,No,,
1674,No,,
1675,No,,
1676,No,,
1677,No,,
1678,No,,
1680,No,,
1681,No,,
1682,No,,
1683,No,,
1684,Yes,Voluntary,1
1687,No,,
1689,No,,
1691,Yes,Voluntary,1
1692,Yes,Involuntary,9
1693,No,,
1694,No,,
1696,No,,
1697,No,,
1698,No,,
1700,No,,
1701,No,,
1702,Yes,Involuntary,8
1703,No,,
1704,No,,
1706,No,,
1707,No,,
1708,No,,
1709,No,,
1710,No,,
1712,No,,
1714,Yes,Involuntary,9
1716,Yes,Voluntary,11
1718,No,,
1719,No,,
1720,No,,
1721,No,,
1722,No,,
1724,No,,
1725,No,,
1727,No,,
1728,No,,
1729,No,,
1731,No,,
1732,No,,
1733,Yes,Voluntary,9
1734,Yes,Voluntary,6
1735,No,,
1736,No,,
1737,No,,
1739,No,,
1740,No,,
1744,No,,
1745,No,,
1746,No,,
1747,Yes,Voluntary,12
1749,No,,
1751,No,,
1752,Yes,Voluntary,1
1753,No,,
1754,No,,
1755,No,,
1756,No,,
1757,No,,
1758,Yes,Involuntary,4
1760,No,,
1761,Yes,Involuntary,5
1762,No,,
1763,No,,
1764,No,,
1766,No,,
1767,Yes,Involuntary,8
1768,No,,
1770,No,,
1771,No,,
1772,No,,
1774,No,,
1775,No,,
1778,No,,
1779,No,,
1780,Yes,Involuntary,8
1782,No,,
1783,Yes,Voluntary,8
1784,No,,
1786,No,,
1787,No,,
1789,No,,
1790,No,,
1792,Yes,Involuntary,7
1794,No,,
1797,Yes,Involuntary,1
1798,No,,
1799,No,,
1800,No,,
1801,No,,
1802,No,,
1803,No,,
1804,No,,
1805,No,,
1807,Yes,Involuntary,10
1809,Yes,Involuntary,4
1812,No,,
1813,No,,
1814,No,,
1815,No,,
1816,No,,
1818,Yes,Voluntary,10
1821,Yes,Involuntary,12
1822,No,,
1823,No,,
1824,No,,
1826,No,,
1827,No,,
1829,No,,
1830,No,,
1833,No,,
1834,No,,
1835,No,,
1836,No,,
1837,No,,
1839,No,,
1842,Yes,Voluntary,11
1844,Yes,Involuntary,9
1845,No,,
1847,No,,
1849,No,,
1850,No,,
1852,No,,
1853,No,,
1854,No,,
1856,No,,
1857,No,,
1858,No,,
1859,No,,
1860,No,,
1862,Yes,Involuntary,6
1863,No,,
1864,No,,
1865,No,,
1866,No,,
1867,No,,
1868,Yes,Involuntary,12
1869,Yes,Voluntary,10
1870,No,,
1871,No,,
1873,No,,
1875,No,,
1876,Yes,Involuntary,12
1878,Yes,Involuntary,1
1880,No,,
1881,No,,
1882,No,,
1883,No,,
1885,No,,
1886,No,,
1888,No,,
1890,No,,
1892,No,,
1893,No,,
1898,No,,
1900,No,,
1903,No,,
1905,Yes,Voluntary,8
1907,Yes,Voluntary,4
1908,No,,
1909,No,,
1911,No,,
1912,No,,
1915,No,,
1916,No,,
1918,No,,
1922,No,,
1924,No,,
1927,No,,
1928,Yes,Voluntary,2
1929,No,,
1931,No,,
1932,No,,
1933,Yes,Involuntary,7
1934,No,,
1935,No,,
1936,No,,
1937,No,,
1938,No,,
1939,Yes,Voluntary,2
1940,No,,
1941,No,,
1943,No,,
1944,Yes,Involuntary,6
1945,No,,
1947,No,,
1948,No,,
1949,No,,
1950,No,,
1951,No,,
1952,No,,
1954,No,,
1955,No,,
1956,No,,
1960,Yes,Voluntary,10
1961,No,,
1962,No,,
1965,No,,
1966,No,,
1967,Yes,Voluntary,1
1968,Yes,Involuntary,8
1969,No,,
1970,No,,
1971,No,,
1972,No,,
1973,No,,
1974,No,,
1975,No,,
1976,No,,
1979,No,,
1980,No,,
1981,No,,
1982,No,,
1985,No,,
1986,No,,
1987,No,,
1989,No,,
1992,No,,
1993,No,,
1994,No,,
1995,No,,
1996,No,,
1997,No,,
1998,No,,
1999,No,,
2000,No,,
2003,No,,
2007,No,,
2008,No,,
2009,No,,
2010,No,,
2012,No,,
2013,No,,
2014,No,,
2015,No,,
2016,No,,
2017,No,,
2018,No,,
2019,No,,
2020,No,,
2021,No,,
2022,No,,
2023,Yes,Voluntary,2
2024,No,,
2025,No,,
2026,No,,
2027,Yes,Voluntary,1
2031,No,,
2032,Yes,Voluntary,7
2034,No,,
2035,No,,
2036,No,,
2037,No,,
2038,No,,
2040,No,,
2041,No,,
2044,Yes,Voluntary,1
2045,No,,
2046,No,,
2048,No,,
2049,No,,
2051,No,,
2052,No,,
2053,No,,
2054,No,,
2055,Yes,Involuntary,4
2056,No,,
2057,No,,
2060,No,,
2061,No,,
2062,No,,
2064,No,,
2065,No,,
2068,No,,
